step,mloss,gloss,loss
14800.0,0.0,0.9794,0.9794
14900.0,0.0,0.9795,0.9795
15000.0,0.0,0.9792,0.9792
15100.0,0.0,0.979,0.979
15200.0,0.0,0.9789,0.9789
15300.0,0.0,0.979,0.979
15400.0,0.0,0.979,0.979
15500.0,0.0,0.9786,0.9786
15600.0,0.0,0.9789,0.9789
15700.0,0.0,0.9789,0.9789
15800.0,0.0,0.9784,0.9784
15900.0,0.0,0.9783,0.9783
16000.0,0.0,0.9785,0.9785
16100.0,0.0,0.9783,0.9783
16200.0,0.0,0.9785,0.9785
16300.0,0.0,0.9779,0.9779
16400.0,0.0,0.9786,0.9786
16500.0,0.0,0.9782,0.9782
16600.0,0.0,0.9781,0.9781
16700.0,0.0,0.978,0.978
16800.0,0.0,0.9777,0.9777
16900.0,0.0,0.9779,0.9779
17000.0,0.0,0.9778,0.9778
17100.0,0.0,0.9779,0.9779
17200.0,0.0,0.978,0.978
17300.0,0.0,0.9774,0.9774
17400.0,0.0,0.9776,0.9776
17500.0,0.0,0.9774,0.9774
17600.0,0.0,0.9771,0.9771
17700.0,0.0,0.9773,0.9773
17800.0,0.0,0.9776,0.9776
17900.0,0.0,0.9774,0.9774
18000.0,0.0,0.9775,0.9775
18100.0,0.0,0.977,0.977
18200.0,0.0,0.9769,0.9769
18300.0,0.0,0.9768,0.9768
18400.0,0.0,0.9773,0.9773
18500.0,0.0,0.9771,0.9771
18600.0,0.0,0.9771,0.9771
18700.0,0.0,0.9768,0.9768
18800.0,0.0,0.9776,0.9776
18900.0,0.0,0.9773,0.9773
19000.0,0.0,0.9771,0.9771
19100.0,0.0,0.9768,0.9768
19200.0,0.0,0.9769,0.9769
19300.0,0.0,0.9769,0.9769
19400.0,0.0,0.9768,0.9768
19500.0,0.0,0.9767,0.9767
19600.0,0.0,0.9769,0.9769
19700.0,0.0,0.9763,0.9763
19800.0,0.0,0.9767,0.9767
19900.0,0.0,0.9761,0.9761
20000.0,0.0,0.9765,0.9765
20100.0,0.0,0.9765,0.9765
20200.0,0.0,0.9768,0.9768
20300.0,0.0,0.9767,0.9767
20400.0,0.0,0.9766,0.9766
20500.0,0.0,0.9761,0.9761
20600.0,0.0,0.9766,0.9766
20700.0,0.0,0.9759,0.9759
20800.0,0.0,0.9764,0.9764
20900.0,0.0,0.9763,0.9763
21000.0,0.0,0.9766,0.9766
21100.0,0.0,0.9764,0.9764
21200.0,0.0,0.9764,0.9764
21300.0,0.0,0.9759,0.9759
21400.0,0.0,0.976,0.976
21500.0,0.0,0.976,0.976
21600.0,0.0,0.9757,0.9757
21700.0,0.0,0.9758,0.9758
21800.0,0.0,0.9758,0.9758
21900.0,0.0,0.9757,0.9757
22000.0,0.0,0.9761,0.9761
22100.0,0.0,0.9757,0.9757
22200.0,0.0,0.9758,0.9758
22300.0,0.0,0.9759,0.9759
22400.0,0.0,0.9758,0.9758
22500.0,0.0,0.9756,0.9756
22600.0,0.0,0.9758,0.9758
22700.0,0.0,0.9759,0.9759
22800.0,0.0,0.9755,0.9755
22900.0,0.0,0.9755,0.9755
23000.0,0.0,0.9756,0.9756
23100.0,0.0,0.9755,0.9755
23200.0,0.0,0.9754,0.9754
23300.0,0.0,0.9756,0.9756
23400.0,0.0,0.9759,0.9759
23500.0,0.0,0.9756,0.9756
23600.0,0.0,0.9754,0.9754
23700.0,0.0,0.975,0.975
23800.0,0.0,0.9754,0.9754
23900.0,0.0,0.9751,0.9751
24000.0,0.0,0.9753,0.9753
24100.0,0.0,0.975,0.975
24200.0,0.0,0.9751,0.9751
24300.0,0.0,0.9751,0.9751
24400.0,0.0,0.9749,0.9749
24500.0,0.0,0.9749,0.9749
24600.0,0.0,0.9751,0.9751
24700.0,0.0,0.9747,0.9747
24800.0,0.0,0.9755,0.9755
24900.0,0.0,0.9747,0.9747
25000.0,0.0,0.9748,0.9748
25100.0,0.0,0.9751,0.9751
25200.0,0.0,0.9748,0.9748
25300.0,0.0,0.9745,0.9745
25400.0,0.0,0.9748,0.9748
25500.0,0.0,0.975,0.975
25600.0,0.0,0.9751,0.9751
25700.0,0.0,0.9751,0.9751
25800.0,0.0,0.9749,0.9749
25900.0,0.0,0.9749,0.9749
26000.0,0.0,0.9749,0.9749
26100.0,0.0,0.9751,0.9751
26200.0,0.0,0.9746,0.9746
26300.0,0.0,0.9745,0.9745
26400.0,0.0,0.9748,0.9748
26500.0,0.0,0.9743,0.9743
26600.0,0.0,0.9745,0.9745
26700.0,0.0,0.9745,0.9745
26800.0,0.0,0.9748,0.9748
26900.0,0.0,0.9746,0.9746
27000.0,0.0,0.9743,0.9743
27100.0,0.0,0.9746,0.9746
27200.0,0.0,0.9743,0.9743
27300.0,0.0,0.975,0.975
27400.0,0.0,0.9746,0.9746
27500.0,0.0,0.9744,0.9744
27600.0,0.0,0.9743,0.9743
27700.0,0.0,0.9742,0.9742
27800.0,0.0,0.9744,0.9744
27900.0,0.0,0.9744,0.9744
28000.0,0.0,0.9743,0.9743
28100.0,0.0,0.9745,0.9745
28200.0,0.0,0.9747,0.9747
28300.0,0.0,0.9747,0.9747
28400.0,0.0,0.974,0.974
28500.0,0.0,0.9742,0.9742
28600.0,0.0,0.9743,0.9743
28700.0,0.0,0.9744,0.9744
28800.0,0.0,0.9747,0.9747
28900.0,0.0,0.974,0.974
29000.0,0.0,0.9744,0.9744
29100.0,0.0,0.9744,0.9744
29200.0,0.0,0.9742,0.9742
29300.0,0.0,0.9741,0.9741
29400.0,0.0,0.9741,0.9741
29500.0,0.0,0.9742,0.9742
29600.0,0.0,0.9738,0.9738
29700.0,0.0,0.9743,0.9743
29800.0,0.0,0.9745,0.9745
29900.0,0.0,0.9748,0.9748
30000.0,0.0,0.9741,0.9741
