step,mloss,gloss,loss
17000.0,0.0,0.9792,0.9792
17100.0,0.0,0.9793,0.9793
17200.0,0.0,0.979,0.979
17300.0,0.0,0.9794,0.9794
17400.0,0.0,0.9791,0.9791
17500.0,0.0,0.9795,0.9795
17600.0,0.0,0.9792,0.9792
17700.0,0.0,0.9792,0.9792
17800.0,0.0,0.9791,0.9791
17900.0,0.0,0.9789,0.9789
18000.0,0.0,0.9789,0.9789
18100.0,0.0,0.9788,0.9788
18200.0,0.0,0.9784,0.9784
18300.0,0.0,0.9786,0.9786
18400.0,0.0,0.9789,0.9789
18500.0,0.0,0.979,0.979
18600.0,0.0,0.9788,0.9788
18700.0,0.0,0.979,0.979
18800.0,0.0,0.9788,0.9788
18900.0,0.0,0.9787,0.9787
19000.0,0.0,0.9787,0.9787
19100.0,0.0,0.9785,0.9785
19200.0,0.0,0.9785,0.9785
19300.0,0.0,0.9786,0.9786
19400.0,0.0,0.9789,0.9789
19500.0,0.0,0.9787,0.9787
19600.0,0.0,0.9783,0.9783
19700.0,0.0,0.9786,0.9786
19800.0,0.0,0.9781,0.9781
19900.0,0.0,0.9785,0.9785
20000.0,0.0,0.9782,0.9782
20100.0,0.0,0.9785,0.9785
20200.0,0.0,0.9782,0.9782
20300.0,0.0,0.9786,0.9786
20400.0,0.0,0.9783,0.9783
20500.0,0.0,0.9783,0.9783
20600.0,0.0,0.9787,0.9787
20700.0,0.0,0.9783,0.9783
20800.0,0.0,0.9784,0.9784
20900.0,0.0,0.9784,0.9784
21000.0,0.0,0.9784,0.9784
21100.0,0.0,0.9786,0.9786
21200.0,0.0,0.9782,0.9782
21300.0,0.0,0.9785,0.9785
21400.0,0.0,0.9778,0.9778
21500.0,0.0,0.9783,0.9783
21600.0,0.0,0.9783,0.9783
21700.0,0.0,0.9781,0.9781
21800.0,0.0,0.9783,0.9783
21900.0,0.0,0.9779,0.9779
22000.0,0.0,0.9781,0.9781
22100.0,0.0,0.9777,0.9777
22200.0,0.0,0.9776,0.9776
22300.0,0.0,0.9778,0.9778
22400.0,0.0,0.9778,0.9778
22500.0,0.0,0.9779,0.9779
22600.0,0.0,0.9778,0.9778
22700.0,0.0,0.9778,0.9778
22800.0,0.0,0.978,0.978
22900.0,0.0,0.9781,0.9781
23000.0,0.0,0.9775,0.9775
23100.0,0.0,0.9775,0.9775
23200.0,0.0,0.9776,0.9776
23300.0,0.0,0.978,0.978
23400.0,0.0,0.9776,0.9776
23500.0,0.0,0.9778,0.9778
23600.0,0.0,0.9778,0.9778
23700.0,0.0,0.9778,0.9778
23800.0,0.0,0.9778,0.9778
23900.0,0.0,0.9774,0.9774
24000.0,0.0,0.9777,0.9777
24100.0,0.0,0.9781,0.9781
24200.0,0.0,0.9775,0.9775
24300.0,0.0,0.9775,0.9775
24400.0,0.0,0.9779,0.9779
24500.0,0.0,0.9774,0.9774
24600.0,0.0,0.9773,0.9773
24700.0,0.0,0.9777,0.9777
24800.0,0.0,0.9779,0.9779
24900.0,0.0,0.9775,0.9775
25000.0,0.0,0.9776,0.9776
25100.0,0.0,0.9771,0.9771
25200.0,0.0,0.9779,0.9779
25300.0,0.0,0.9776,0.9776
25400.0,0.0,0.9776,0.9776
25500.0,0.0,0.9774,0.9774
25600.0,0.0,0.9772,0.9772
25700.0,0.0,0.9773,0.9773
25800.0,0.0,0.9777,0.9777
25900.0,0.0,0.9777,0.9777
26000.0,0.0,0.9774,0.9774
26100.0,0.0,0.9774,0.9774
26200.0,0.0,0.9774,0.9774
26300.0,0.0,0.9774,0.9774
26400.0,0.0,0.9776,0.9776
26500.0,0.0,0.9775,0.9775
26600.0,0.0,0.9781,0.9781
26700.0,0.0,0.9771,0.9771
26800.0,0.0,0.9772,0.9772
26900.0,0.0,0.9775,0.9775
27000.0,0.0,0.9772,0.9772
27100.0,0.0,0.9771,0.9771
27200.0,0.0,0.9776,0.9776
27300.0,0.0,0.9771,0.9771
27400.0,0.0,0.9776,0.9776
27500.0,0.0,0.9774,0.9774
27600.0,0.0,0.9778,0.9778
27700.0,0.0,0.9774,0.9774
27800.0,0.0,0.9772,0.9772
27900.0,0.0,0.9774,0.9774
28000.0,0.0,0.977,0.977
28100.0,0.0,0.9772,0.9772
28200.0,0.0,0.9774,0.9774
28300.0,0.0,0.9773,0.9773
28400.0,0.0,0.977,0.977
28500.0,0.0,0.9775,0.9775
28600.0,0.0,0.9774,0.9774
28700.0,0.0,0.9772,0.9772
28800.0,0.0,0.977,0.977
28900.0,0.0,0.9772,0.9772
29000.0,0.0,0.9776,0.9776
29100.0,0.0,0.9774,0.9774
29200.0,0.0,0.9771,0.9771
29300.0,0.0,0.977,0.977
29400.0,0.0,0.9776,0.9776
29500.0,0.0,0.9775,0.9775
29600.0,0.0,0.9769,0.9769
29700.0,0.0,0.9769,0.9769
29800.0,0.0,0.9772,0.9772
29900.0,0.0,0.9774,0.9774
30000.0,0.0,0.9771,0.9771
